Code de l'aliment; Nom de l'aliment
CUSTOMLABEL;Aliment inconnu;
a132;Maïzena;
a1001;Poisson;
a1000;Surimi;
a6;abricot;
a48;abricot sec;
a36;agrume;
a55;ail;
a2;amandes (avec coque);
a1;amandes (sans coque);
a102;ananas;
a103;ananas confit;
a3;anis;
a7;artichaut;
a8;asperge;
a49;aubergine;
a170;autre légume;
a9;avocat;
a84;avoine;
a10;banane;
a105;banane plantain;
a19;beurre;
a95;beurre de cacahuète;
a14;bière ;
a210;blanc d'oeuf;
a148;blé;
a185;boeuf à bourguignon;
a184;boeuf, morceaux avec os;
a208;bouillon de volaille;
a165;boulghour ;
a167;boulghour complet;
a166;boulghour semi-complet;
a63;cacahuète (sans coque);
a64;cacahuètes (avec coque);
a188;cacao en poudre;
a35;cannelle;
a22;carotte;
a29;cerise;
a126;cerise griotte;
a82;champignon;
a47;champignon déshydraté;
a21;champignon en conserve;
a201;chocolat au lait;
a202;chocolat blanc;
a200;chocolat noir;
a20;choux;
a27;choux-fleur;
a205;ciboulette;
a76;citron;
a113;citrouille;
a37;clous de girofle;
a139;clémentine;
a114;coing;
a143;concentré de tomate;
a44;concombre;
a189;crevettes décortiquées;
a190;crevettes entières;
a40;crème fraîche entière;
a111;cuisse de poulet;
a46;datte fraiche;
a151;farine de blé T55;
a153;farine de blé complète (T110);
a154;farine de blé intégrale (T150);
a152;farine de blé semi-complète (T80);
a180;farine de maïs;
a119;farine de riz;
a52;farine de sarrasin;
a50;figue fraiche;
a51;figue sèche;
a168;filet de dinde;
a206;fines herbes;
a13;flageolet;
a135;fraise;
a118;framboise;
a28;fromage;
a181;fromage au lait écrémé;
a196;fromage blanc;
a54;fruit;
a134;fruit à noyau;
a108;fruit à pépin;
a207;fumet de poisson;
a17;fèves sèches;
a133;fécule de pomme de terre;
a56;germe de blé;
a125;gigôt d'agneau;
a57;gingembre;
a65;goyave;
a109;graine de pavot;
a124;graine de sésame;
a138;graine de tournesol;
a79;graines de lin;
a58;groseille;
a12;haricot sec;
a136;haricot vert;
a62;huile d'arachide;
a85;huile d'olive vierge;
a117;huile de colza;
a91;huile de palme;
a128;huile de soja;
a123;huile de sésame;
a137;huile de tournesol;
a150;igname;
a209;jaune d'oeuf;
a71;jus d'ananas;
a70;jus d'orange;
a75;jus de citron;
a69;jus de pamplemousse;
a4;jus de pomme ;
a59;jus de raisin;
a72;jus de tomate;
a73;kiwi;
a192;lait 1/2 écrémé;
a194;lait 1/2 écrémé concentré non sucré;
a193;lait 1/2 écrémé concentré sucré;
a195;lait 1/2 écrémé en poudre;
a42;lait entier ;
a179;lait entier concentré ;
a178;lait entier concentré sucré;
a41;lait entier en poudre;
a177;lait écrémé;
a176;lait écrémé concentré ;
a174;lait écrémé concentré sucré;
a175;lait écrémé en poudre;
a172;lardons;
a77;lentilles;
a197;margarine;
a30;marron;
a80;maïs;
a90;melon;
a199;miel;
a81;millet;
a191;moules;
a203;moutarde;
a83;muscade;
a43;myrtille;
a66;noisette (sans coque);
a67;noisettes (avec coque);
a146;noix (avec coque);
a145;noix (sans coque);
a112;noix de Pécan (sans coque);
a24;noix de cajou (avec coque);
a23;noix de cajou (sans coque);
a38;noix de coco;
a39;noix de coco séchée;
a16;noix du Brésil (avec coque);
a15;noix du Brésil (sans coque);
a68;oeuf;
a88;oignon;
a87;oignon blanc;
a86;olive ;
a89;orange;
a11;orge;
a155;pain blanc;
a157;pain complet (T110);
a158;pain intégral (T150);
a156;pain semi-complet (T80);
a60;pamplemousse;
a92;papaye;
a147;pastèque;
a204;persil;
a98;petits pois;
a33;piment sec;
a104;pistache (avec coque);
