code;Texte;Type;commentaires;Fait
vosinformations;Cette rubrique vous permet de vous identifier et de vous localiser pour permettre des calculs de distances pour le transport des aliments que vous utilisez. Les données saisies sont confidentielles. Quand vous créerez des recettes ou des menus vous pourrez choisir ou non de les partager avec d'autres utilisateurs : c'est vous qui décidez.;Cadre bleu;texte introductif de vos information;X
nomdelacommune;Saisissez jusqu'à 3 lettres du nom de votre commune et choisissez le nom dans la liste restreinte qui vous est proposée. Votre choix apparaîtra dans le champ ci-dessous;Info formulaire;dans Vos informations - texte sans cadre en dessous du champs de saisie (et donc audessus du champs d'affichage définitif);X
livrederecette;"Vous pouvez ici rechercher une recette que vous avez déjà créée ou que d'autres ont décidé de partager avec tous les utilisateurs. 
Vous pouvez choisir en fonction du type de composante : entrée, plat, fromage/dessert, pain ou taper directement les premières lettres du nom de la recette que vous recherchez ou d'un aliment qui la compose.
En cliquant sur la recette qui vous intéresse une fenêtre s'ouvre avec sa composition. Vous pourrez alors soit utiliser la recette telle quelle, soit la modifier, créant alors une nouvelle recette. Ainsi vous n'aurez pas besoin de saisir la recette entière si votre nouvelle recette ne diffère que de quelques ingrédients ou grammages d'une recette pré-existante.
Vous trouverez également des recettes étalons qui pourront vous servir de références ""pied léger ou pied lourd"" pour situer l'impact de votre recette et pour envisager des moyens de réduire l'impact de votre recette. (Pour plus de détails et d'explications voire les commentaires présentés dans la partie analyse.)";Cadre bleu;texte introductif delivre de recette;
vosrecettes;Choisissez ici si vous allez rechercher des recettes dans votre propre livre de recettes, dans les menus étalons ou dans les recettes proposées par d'autres RC;?;Texte explicatif du Menu déroulant proposant vos recettes, recettes étalons et recettes d'autres RC dans la rubrique Livre de recette;x
typesdecomposantes;Choisissez ici quel type de composante du repas vous intéresse :  entrée, plat, fromage/dessert, pain, l'application vous proposera alors toutes les recettes de ce type dont elle dispose.;?;Texte explicatif du Menu déroulant types de composantes dans la rubrique Livre de recette;x
nomdelarecette;"Tapez les premières lettres des mots importants du nom de la recette que vous recherchez, l'application vous proposera toutes les recettes qui contiennent ces lettres - Ex : si vous tapez ""sou"", l'application vous proposera toutes les recettes de soupes et de cassoulet ";?;Texte explicatif du champ nom de la recette dans la rubrique Livre de recette;x
nomdunaliment;"Tapez les premières lettres du nom d'un aliment qui compose la recette que vous recherchez, l'application vous proposera toutes les recettes qui contiennent un aliment comprenant ces lettres - Ex : si vous tapez ""car"", l'application vous proposera toutes les recettes qui contiennent des carottes. ";?;Texte explicatif du champ nom d'un aliment dans la rubrique Livre de recette;x
recettesselectionnees;"Vous pouvez sélectionner autant de recettes que vous le souhaitez pour les comparer entre elles. Pour cela choisissez une recette, cliquer dessus et cliquer sur le bouton ""sélectionner la recette pour comparaison"" en bas de la fenêtre de présentation rapide des résultats.";Cadre bleu;Texte explicatif de la zone Recettes sélectionnées dans la rubrique livre de recette;x
boutonmodifierlarecette;Vous pouvez modifier uniquement les recettes que vous avez créées. Pour des recettes créées par d'autres vous devez d'abord les dupliquer.;?;"texte explicatif dans la fenetre de résumé de la recette pour le bouton ""modifier la recette""";
boutondupliquerlarecette;Vous pouvez dupliquer une recette pour la retravailler sans modifier la recette initiale.;?;"texte explicatif dans la fenetre de résumé de la recette pour le bouton ""dupliquer la recette""";
boutonselectionnerlarecettepourcomparaison;Cliquer pour sélectionner cette recette et l'ajouter à votre liste de recettes à comparer;?;"texte explicatif dans la fenetre de résumé de la recette pour le bouton ""selectionner la recette pour comparaison""";
boutonanalyserlarecette;Cliquer pour aller sur les pages d'analyse de votre recette;?;"texte explicatif dans la fenetre de résumé de la recette pour le bouton ""analyser la recette""";
analysedelarecetteempreintefonciere;"Voici les résultats de l'analyse de votre recette. Ils prennent la forme de données chiffrées (onglet ""chiffres"") et de graphiques (onglet ""graphiques"").";Cadre bleu;"texte introductif général de la rubrique analyse de recette ""empreinte foncière""  en dessous du titre Analyse de la recette et donc audessus des onglets chiffres et graphiques- cadre bleu -";x
